"","year","state","population","urban","sex_ratio"
"279",2018,"puducherry",1470000,69.47,959.692898272553
"280",2018,"andaman_&_nicobar_islands",395000,NA,1157.89473684211
"281",2019,"india",1332900000,33.85,1076.42497181122
"282",2019,"himachal_pradesh",7300000,10.22,1174.92711370262
"283",2019,"punjab",29859000,40.38,1142.90792747956
"284",2019,"haryana",28672000,39.73,1145.38606403013
"285",2019,"nct_of_delhi",19814000,99.09,1152.1429354379
"286",2019,"rajasthan",77264000,26.04,1094.1825372047
"287",2019,"uttar_pradesh",224979000,23.45,1118.58009075212
"288",2019,"bihar",119520000,11.96,1117.16782698859
"289",2019,"assam",34293000,15.07,1056.90409868683
"290",2019,"west_bengal",96906000,35.13,1059.28256003872
"291",2019,"jharkhand",37403000,25.48,1098.87689936137
"292",2019,"odisha",43671000,18.13,1072.77486910995
"293",2019,"chhattisgarh",28724000,25.84,1045.7552370452
"294",2019,"madhya_pradesh",82232000,28.55,1089.34769066477
"295",2019,"gujarat",67936000,46.74,1136.32081819405
"296",2019,"maharashtra",122153000,47.44,1107.39353384006
"297",2019,"andhra_pradesh",52221000,34.08,1013.23379708178
"298",2019,"karnataka",65798000,42.49,1038.49518810149
"299",2019,"kerala",35125000,66.53,916.591486918724
"300",2019,"tamil_nadu",75695000,51.91,1000
"301",2019,"chandigarh",1179000,99.48,1217.39130434783
"302",2019,"uttarakhand",11141000,34.02,1131.60854893138
"303",2019,"sikkim",664000,40.84,1100.77519379845
"304",2019,"arunachal_pradesh",1504000,24.74,1125.71428571429
"305",2019,"nagaland",2150000,40.05,1100
"306",2019,"manipur",3103000,31.35,973.630831643002
"307",2019,"mizoram",1192000,54.1,1003.10559006211
"308",2019,"tripura",3992000,34.77,1026.27737226277
"309",2019,"meghalaya",3224000,20.47,1000
"310",2019,"daman_&_diu",413000,91.72,2211.86440677966
"311",2019,"dadra_&_nagar_haveli",546000,63.94,1457.74647887324
"312",2019,"goa",1540000,71.43,1044.60966542751
"313",2019,"lakshadweep",68000,94.79,1064.51612903226
"314",2019,"puducherry",1504000,69.63,960.674157303371
"315",2019,"andaman_&_nicobar_islands",397000,NA,1141.02564102564
"316",2020,"india",1347121000,34.18,1076.42292552496
"317",2020,"himachal_pradesh",7347000,10.24,1173.41040462428
"318",2020,"punjab",30099000,40.74,1142.95700803915
"319",2020,"haryana",29077000,40.33,1145.65416285453
"320",2020,"nct_of_delhi",20193000,99.23,1151.9707872409
"321",2020,"rajasthan",78273000,26.19,1094.09480997139
"322",2020,"uttar_pradesh",227943000,23.59,1118.60868195068
"323",2020,"bihar",121302000,12.04,1117.44236624619
"324",2020,"assam",34668000,15.2,1057.00898086685
"325",2020,"west_bengal",97516000,35.54,1059.36181591301
"326",2020,"jharkhand",37937000,25.66,1098.74946097456
"327",2020,"odisha",43852000,18.32,1073.03225806452
"328",2020,"chhattisgarh",29109000,26.16,1045.9430413756
"329",2020,"madhya_pradesh",83374000,28.66,1089.26385731771
"330",2020,"gujarat",68862000,47.24,1136.41140154998
"331",2020,"maharashtra",123295000,47.71,1107.40130400516
"332",2020,"andhra_pradesh",52504000,34.68,1013.26993254451
"333",2020,"karnataka",66322000,42.97,1038.48079536514
"334",2020,"kerala",35307000,68.79,916.587752525253
"335",2020,"tamil_nadu",76049000,52.35,1000
"336",2020,"chandigarh",1193000,99.63,1218.28358208955
