Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
Professional Diamonds Ltd.|31-03-2016|0.10||40.00|8.60|8.60||0.10
Professional Express Pvt. Ltd.|31-03-2022|2.90||2.50|5.80|5.80||2.90
Professional Investment & Securities Ltd.|31-03-2012|4.00||3.70|32.10|32.10||
Professional Leasing & Capital Services Ltd.|31-03-2022|0.50||0.50|14.80|14.80||
Professional Management Consultants Ltd. [Merged]|31-03-2012|61.20||88.00|82.20|82.20||61.10
Professional Oral Care Products Pvt. Ltd. [Merged]|31-03-2009|1295.50|-3.30|1267.70|249.00|249.00||1284.30
Professional Realtors Pvt. Ltd.|31-03-2011||||2.10|2.10||
Professional Recreation & Entertaining Centre Ltd.|31-03-2021|0.40||0.20|83.80|83.80||
Proficient Food Products Ltd.|31-03-2010|0.30||0.20|5.50|5.50||
Proficient Leasing & Finance Pvt. Ltd.|31-03-2010|4.30||4.30|46.10|46.10||
Profin Money Markets Ltd.|31-03-2022|1.60||0.90|31.60|31.60||0.20
Profitcore Pipes Ltd.|31-03-2010|43.50|0.20|42.30|35.70|35.70||43.50
Profitex Shares & Securities Pvt. Ltd.|31-03-2022|5873.90||1919.00|12193.60|12193.60||
Profive Engineering Pvt. Ltd.|31-03-2022|660.20||646.20|371.00|371.00||658.10
Proflippers India Pvt. Ltd.|31-03-2022||||0.20|0.20||
Progen Systems & Technologies Ltd.|31-03-2022|20.40||9.20|821.00|821.00||19.80
Prognoz Technologies Pvt. Ltd.|31-03-2022|3.90||4.00|2.80|2.80||3.90
Progressive Co-Op. Bank Ltd.|31-03-2006|65.70||69.00|730.90|730.90|24|
Progressive Comtrade Pvt. Ltd.|31-03-2022|10.50||2.90|40.20|40.20||
Progressive Constructions Ltd.|31-03-2014|4039.40|-354.50|3656.60|14730.40|14730.40||3830.40
Progressive Exim Ltd.|31-03-2013|1197.70|30.20|1213.50|675.40|675.40||1196.50
Progressive Finlease Ltd.|31-03-2022|10.60||10.50|100.50|100.50||
Progressive Infotech Pvt. Ltd.|31-03-2022|1593.40||1523.30|629.60|629.60||1571.30
Progressive Printers & Publishers Ltd.|31-03-2006|0.10||0.10|0.00|||0.10
Progressive Sales Pvt. Ltd.|31-03-2022|117.10||116.70|70.80|70.80||116.10
Progressive Services Ltd.|31-03-2011|2.40||2.50|173.10|173.10||
Progressive Steels (India) Ltd.|31-03-2010|2.60|-0.80|2.00|30.00|30.00||2.60
Progressive Udyog Ltd.|31-03-2008|0.30||0.30|8.00|8.00||
Progrex Ventures Ltd.|31-03-2023|0.10||1.20|91.90|91.90||
Projects & Devp. India Ltd.|31-03-2022|1220.80||1112.70|2677.70|2677.70||1151.40
Proland Softwares Pvt. Ltd.|31-03-2014|0.80||4.50|56.30|56.30||0.80
Prolife Industries Ltd.|31-03-2023|804.90|-26.40|709.40|433.60|433.60|62|788.40
Prolife Speciality Chemicals Ltd.|31-03-2022||0.00|4.30|102.60|102.60||
Prolific Resolution Pvt. Ltd.|31-03-2023|2212.10||2799.40|31595.90|31595.90||
Prolifics Corporation Pvt. Ltd.|31-03-2022|1966.40||1308.50|6400.70|6400.70||1595.30
Proline India Ltd.|31-03-2020|861.60|-1.70|817.40|653.90|653.90||860.20
Proline Software & Finance Ltd.|30-09-2001|0.60|0.00|0.60|85.10|85.10||0.60
Proline Technologies Ltd.|31-03-1996|792.40|12.20|678.10|618.10|618.10||768.80
Prolink Communications & Security Solutions Pvt. Ltd.|31-03-2020|17.80|0.30|17.80|6.10|6.10||17.80
Prolink Computers Pvt. Ltd.|31-03-2022|97.30|-13.00|82.10|64.10|64.10||96.20
Prolise Enterprises Ltd.|31-03-2022|1.20||1.80|127.50|127.50||1.20
Prologic First India Pvt. Ltd.|31-03-2020|115.80||123.60|113.30|113.30||111.50
Prologue Retail Solutions Pvt. Ltd.|31-03-2013|185.50||179.80|109.60|109.60||185.00
Proma Industries Ltd.|31-03-2022|579.30|5.00|550.10|445.10|445.10||545.00
Promac Engineering Inds. Ltd.|31-03-2022|1245.00|-18.40|1176.30|2626.90|2626.90||1207.60
Promact Impex Ltd.|31-03-2023|16.00||10.80|73.10|73.10||1.90
Promain Ltd.|31-03-2022|18.80||7.30|204.80|204.80||18.10
Promantra Synergies Solutions Ltd.|31-03-2022|116.40||115.00|73.30|73.30||116.40
Promax Power Ltd.|31-03-2023|549.80|24.50|567.20|406.90|406.90||545.70
Promedia Trading Pvt. Ltd.|31-03-2022|728.10|-49.90|676.20|844.90|844.90||720.80
Prometrik Engineering Ltd.|31-03-2010|34.30|-1.40|28.10|40.70|40.70||34.20
Prominent Hotels Ltd.|31-03-2012|151.90||152.70|343.60|343.60||149.50
Promising Exports Ltd.|31-03-2010|328.30|56.80|382.60|261.90|261.90||324.30
Promont Hillside Pvt. Ltd.|31-03-2023|35.80||563.60|3711.40|3711.40||
Prompt Corporate Services Ltd.|31-03-2014|117.10||115.70|216.70|216.70||
Prompt Enterprises Pvt. Ltd.|31-03-2022|17045.20|401.70|17023.50|6074.00|6074.00||17042.10
Prompt Equipments Pvt. Ltd.|31-03-2022|1416.00|75.00|1453.60|986.00|986.00||1394.70
Prompt International Ltd.|31-03-2022|||0.70|13.10|13.10||
Prompt Paper Products Pvt. Ltd.|31-03-2021|302.70||297.60|77.30|77.30||299.80
Prompt Personnel Pvt. Ltd.|31-03-2020|2745.00||2715.20|317.00|317.00||94.90
Prompt Toolings India Pvt. Ltd.|31-03-2022|47.50|0.30|46.80|35.10|35.10||47.20
Promptec Renewable Energy Solutions Pvt. Ltd. [Merged]|31-03-2019|243.90|-24.90|261.00|203.10|203.10||240.60
Promuk Hoffmann Intl. Ltd.|31-03-2022|||1.90|22.10|22.10||
Pronet Interactive L L P|31-03-2017|0.10|||2.00|2.00||
Pronto Exim Pvt. Ltd.|31-03-2000|||||||
Pronto Industrial Services Ltd.|31-03-2012|||0.10|3.90|3.90||
Pronto Stearings Ltd.|31-03-2012|230.80|10.70|240.80|165.50|165.50||214.00
Propel Industries Pvt. Ltd.|31-03-2021|5971.50|-219.90|5159.50|3912.20|3912.20||5936.30
Propene Products Ltd.|31-03-2022|8.10||9.10|84.80|84.80||5.90
Property Care Service Ltd.|31-03-2011|10.10|1.70|13.60|6.90|6.90||10.00
Propmart Technologies Ltd.|31-03-2022|31.80||54.20|55.10|55.10||31.40
Prose Technologies India Pvt. Ltd.|31-03-2022|7146.40|-448.90|6677.20|6941.80|6941.80||6908.60
Proseal Closures Ltd.|31-03-2017|938.30|15.10|853.80|849.80|849.80||922.60
Prosfl Pvt. Ltd.|31-03-2012||||0.40|0.40||
Prospect Commodities Ltd.|31-03-2023|126.90|8.90|130.30|137.70|137.70|8|126.90
Prosper Housing Finance Ltd.|31-03-2022|30.00||24.90|258.70|258.70||
Prosperity Agro India Ltd.|31-03-2013|1055.40||992.80|1205.70|1205.70||1053.90
Prostarm Info Systems Ltd.|31-03-2022|1718.60|116.60|1715.80|933.70|933.70||1711.60
Protchem Industries (India) Ltd.|31-03-2010||||10.60|10.60||
Protean Egov Technologies Ltd.|31-03-2022|7697.20||6258.30|10590.60|10590.60||6909.10
Protech Circuit Breakers Ltd.|31-03-2013|||0.10|14.40|14.40||
Protech Electromech Ltd.|31-03-1997|8.50|3.70|12.90|34.30|34.30||8.50
Protech Switchgears Ltd.|31-03-2008||0.00||44.20|44.20||
Protechsoft Systems Pvt. Ltd.|31-03-2022|301.10||208.40|2440.80|2440.80||180.00
Protecto Engineering Pvt. Ltd.|31-03-2022|44.60|0.50|39.50|71.60|71.60||39.20
Protecto Tanks & Vessels Pvt. Ltd.|31-03-2013|16.50||20.80|79.50|79.50||
Protector Firesafety India Pvt. Ltd.|31-03-2022|81.60|-1.00|80.20|27.60|27.60||81.60
Protein Technologies India Ltd.|31-03-2022||||0.00|||
Prothious Engineering Services Pvt. Ltd.|31-03-2022|640.80||634.40|386.10|386.10||626.20
Proto Developers & Technologies Ltd.|31-03-2013|2857.20|64.10|2895.90|1474.70|1474.70||2857.20
Protos Engineering Co. Pvt. Ltd.|31-03-2022|256.60|3.40|255.90|459.60|459.60||224.70
Provaasys Nutrients India Pvt. Ltd.|31-03-2022|234.20|-4.10|236.00|94.20|94.20||234.20
Provenance Land Pvt. Ltd.|31-03-2022|2190.10|29.70|2683.30|13034.80|13034.80||2181.80
Proventus Agrocom Ltd.|31-03-2023|3405.00|-110.80|3271.30|842.00|842.00|16|3359.80
Provident Housing Ltd.|31-03-2022|4633.90|-243.90|4314.60|20615.10|20615.10||4429.60
Provident Meryta Pvt. Ltd.|31-03-2021||||0.10|0.10||
Provimi Animal Nutrition India Pvt. Ltd.|31-03-2022|8090.80|86.50|7574.30|5322.50|5322.50||7364.90
Provincial Automobile Co. Pvt. Ltd.|31-03-2005|515.60|27.80|541.70|131.90|131.90||515.60
Provincial Finance & Leasing Co. Pvt. Ltd.|31-03-2010|0.90||0.30|12.20|12.20||
Provogue (India) Ltd.|31-03-2019|731.80|-62.20|1301.00|2285.60|2285.60|86|710.20
Provogue Infrastructure Pvt. Ltd.|31-03-2022|||0.30|18.80|18.80||
Provogue Personal Care Pvt. Ltd.|31-03-2019|9.90|-6.20|37.50|27.60|27.60||8.60
Prowis Products Ltd.|31-03-2019|1.20||0.40|5.10|5.10||
Proximon Controls Pvt. Ltd.|31-03-2021|21.90||21.50|19.00|19.00||21.80
Proximus Knowledge & Technology Services Pvt. Ltd.|31-03-2009|29.40|0.00|34.00|183.00|183.00||24.60
Prozone Developers & Realtors Pvt. Ltd.|31-03-2023|372.20||158.10|680.80|680.80||
Prozone Enterprises Pvt. Ltd. [Merged]|31-03-2011|70.30||122.80|4246.70|4246.70||37.00
Prozone International Ltd.|31-03-2008|||4.10|1315.20|1315.20||
Prozone Intu Developers Pvt. Ltd.|31-03-2023|5.00||12.00|225.90|225.90||
Prozone Liberty Intl. Ltd.|31-03-2008|||0.30|1319.70|1319.70||
Prozone Realty Ltd.|31-03-2023|214.30||150.80|8279.30|8279.30|84|108.40
Prudent Agri-Commodities India Pvt. Ltd.|31-03-2022|2292.40|595.50|2705.00|918.00|918.00||2286.70
Prudent Capital Services Ltd.|31-03-2012|0.60||0.60|10.40|10.40||
Prudent Corporate Advisory Services Ltd.|31-03-2023|5230.90||4489.40|3606.60|3606.60|1078|0.80
Prudent Insurance Brokers Pvt. Ltd.|31-03-2022|2301.80||1871.60|1427.10|1427.10||
Prudential Ammana Sugars Ltd.|31-03-2022|39.80||29.70|658.60|658.60||
Prudential Capital Markets Ltd.|31-03-1999|16.60||191.20|1978.80|1978.80||
Prudential Cements Ltd.|31-03-1996|37.40|10.00|74.40|280.80|280.80||36.50
Prudential Holdings Ltd. [Merged]|31-03-2009||||15.10|15.10||
Prudential Housing & Infrastructure Devp. Ltd.|31-03-2022|||0.20|3.70|3.70||
Prudential International Ltd.|31-03-2008||||216.10|216.10||
Prudential Leasing Ltd.|31-03-2022|0.10||0.10|220.00|220.00||
Prudential Polywebe Pvt. Ltd.|30-09-1996|301.40|12.50|336.40|214.90|214.90||299.30
Prudential Stock & Securities Ltd.|31-03-2022|1.00||1.40|254.80|254.80||
Prudential Stock Broking Services Ltd.|31-03-2022||||51.10|51.10||
Prudential Sugar Corpn. Ltd.|31-03-2023|848.70||821.50|1028.10|1028.10|2|807.00
Prudential Tirumala Sugars Ltd.|31-03-2022||||0.00|||
Psyche Hospitality Enterprises Ltd.|31-03-2022|0.90||2.00|66.40|66.40||0.90
Psyche Hotels & Entertainment Pvt. Ltd.|31-03-2008||||0.10|0.10||
Psychotropics India Ltd.|31-03-2022|2710.80|167.80|2741.30|3048.60|3048.60||2688.60
Pt Bank Maybank Indonesia T B K|31-03-2019|185.10||193.40|2180.70|2180.70||
Publicis Communications Pvt. Ltd.|31-03-2022|1047.70||963.90|1018.60|1018.60||1035.90
Publicity Society Of India Ltd.|31-03-2022|80.90||58.50|354.90|354.90||59.40
Pubmatic India Pvt. Ltd.|31-03-2022|1373.10||1231.10|925.80|925.80||1343.70
Puducherry Distilleries Ltd.|31-03-1996|84.90|-4.20|72.60|61.40|61.40||83.60
Pudumjee Holding Ltd. [Merged]|31-03-2018|||0.70|4.60|4.60||
Pudumjee Hygiene Products Ltd. [Merged]|31-03-2018|1.60||1.30|9.90|9.90||1.30
Pudumjee Investment & Finance Co. Ltd. [Merged]|31-03-2020|0.70||2.30|21.40|21.40||
Pudumjee Paper Products Ltd.|31-03-2023|7674.40|64.50|7144.90|6541.80|6541.80|588|7581.70
Pudumjee Plant Laboratories Ltd.|31-03-2021|0.10||28.70|327.80|327.80||
Puja Agro Food Pvt. Ltd.|31-03-2009|245.60|0.00|244.10|44.70|44.70||244.90
Puja Corporation Pvt. Ltd.|31-03-2022|8.00||2.30|158.60|158.60||0.90
Puja Entertainment (India) Ltd.|31-03-2022|2074.00||1823.40|3224.20|3224.20||1962.60
Puja Food Products Pvt. Ltd.|31-03-2022|523.10|2.10|519.20|134.30|134.30||
Puja Vanijya Viniyog Ltd.|31-03-2022|5.40||2.40|92.80|92.80||
Pujita Spinning Mill Ltd.|31-03-2011|154.60|-2.60|162.00|314.20|314.20||152.90
Pujita Supplier Ltd.|31-03-2022|21.90||11.70|633.10|633.10||
Pulankinar Holdings Pvt. Ltd.|31-03-2011||||86.80|86.80||
Pulgaon Cotton Mills Ltd.|31-03-2022|0.50||0.50|75.10|75.10||
Puliakulam Holdings Pvt. Ltd.|31-03-2011||||27.60|27.60||
Pulikkal Medical Foundation|31-03-2022|2369.40||2216.10|5903.10|5903.10||2364.00
Pulkit Metals Pvt. Ltd.|31-03-2022|5967.20|88.60|6015.10|2165.20|2165.20||5961.20
Pullangode Rubber & Produce Co. Ltd. [Merged]|31-03-2005|46.80|-0.60|40.10|158.40|158.40||44.10
Pulpa Industries Ltd.|31-03-2012||||0.20|0.20||
Pulsar International Ltd.|31-03-2023|3.70||2.40|51.10|51.10|4|1.90
Pulse Exim & Trading Pvt. Ltd.|31-03-2019|7.50|0.00|7.80|11.10|11.10||7.50
Pulse Imaging Pvt. Ltd.|31-03-2022|127.60||121.20|86.70|86.70||127.50
Pulz Electronics Ltd.|31-03-2023|299.10|16.50|263.80|271.20|271.20||292.40
Puma India Corporate Services Pvt. Ltd.|31-12-2016|723.70|-150.40|548.40|11.80|11.80||721.50
Puma Properties Pvt. Ltd.|31-03-2022|0.70||1.90|51.40|51.40||0.60
Puma Sports India Pvt. Ltd.|31-12-2022|29801.90|3497.10|32280.80|19761.70|19761.70||29533.50
Punarjani Securities Ltd.|31-03-2013|9.60||21.30|674.10|674.10||
Punarnava Ayurveda Ltd.|31-03-2022|73.90|-0.10|72.00|194.70|194.70||72.50
Punch Industry India Pvt. Ltd.|31-03-2022|85.80|1.40|97.70|66.20|66.20||85.60
Punch Ratna Fasteners Pvt. Ltd.|31-03-2022|3298.20|114.70|3063.80|3109.50|3109.50||3262.10
Punchh Tech India Pvt. Ltd.|31-03-2022|500.90||445.20|157.10|157.10||499.50
Punctual Trading Ltd.|31-03-2023|19.80||6.00|195.80|195.80|3|11.90
Pundeer India Ltd.|31-03-2012||||0.10|0.10||
Pune Carbide Tools Pvt. Ltd.|31-03-2016|1.70||2.70|6.90|6.90||1.70
Pune City Integrated Road Devp. Ltd.|31-03-2003||||0.70|0.70||
Pune Finvest Ltd.|31-03-2010|9.10||7.40|132.00|132.00||1.70
Pune Infrastructure Devp. Pvt. Ltd.|31-03-2008||||0.10|0.10||
Pune Mahanagar Parivahan Mahamandal Ltd.|31-03-2022|9345.30||10913.30|1934.70|1934.70||3221.10
Pune Polymers Pvt. Ltd.|31-03-2021|721.00|4.80|702.90|663.70|663.70||715.90
Pune Pumps Sales & Services Pvt. Ltd.|31-03-2022|66.30|8.60|67.10|41.20|41.20||55.90
Pune Sholapur Road Devp. Co. Ltd.|31-03-2022|1609.10||888.50|24765.60|24765.60||1511.90
Pune Solapur Expressways Pvt. Ltd.|31-03-2022|1900.60||1641.80|9281.00|9281.00||1866.00
Pune Textile Market Pvt. Ltd.|31-03-2022|1886.70|18.60|1835.30|765.90|765.90||1879.30
Pune-Dynasty Projects Pvt. Ltd.|31-03-2022|0.20||0.30|19.50|19.50||
Pune-Embassy Projects Pvt. Ltd.|31-03-2007||||0.50|0.50||
Pune-Paud Toll Road Co. Ltd.|31-03-2017|1.40||38.50|18.10|18.10||
Punit Finstock Ltd.|31-03-2002||||0.50|0.50||
Punit Fintrade Pvt. Ltd.|31-03-2022|43.10|1.50|20.20|166.20|166.20||7.50
Punj Brothers Ltd.|31-03-2021||||22.10|22.10||
Punj Lloyd Aviation Ltd.|31-03-2022|||0.90|2.00|2.00||
Punj Lloyd Inds. Ltd.|31-03-2022|0.80||2.10|18.80|18.80||
Punj Lloyd Infrastructure Ltd.|31-03-2022|24.00||19.30|2429.90|2429.90||
Punj Lloyd Ltd.|31-03-2018|44129.80||40956.10|121222.90|121222.90||40814.90
Punj Lloyd Solar Power Ltd.|31-03-2022|109.20||88.70|560.00|560.00||107.80
Punj Lloyd Upstream Ltd.|31-03-2022|||56.60|21.20|21.20||
Punjab & Maharashtra Co-Op. Bank Ltd. [Merged]|31-03-2021|3351.70||7654.00|78259.10|78259.10||
Punjab & Sind Bank|31-03-2023|95879.40||82749.10|1365374.00|1365374.00||
Punjab Agri Ventures Ltd.|31-03-2022|54.70|3.60|71.20|165.00|165.00||54.50
Punjab Agro Foodgrains Corpn. Ltd.|31-03-2020|30567.90|1427.70|33200.30|78384.50|78384.50||30556.60
Punjab Agro Inds. Corpn. Ltd.|31-03-2021|496.50|39.30|525.90|2062.60|2062.60||425.90
Punjab Anand Batteries Ltd.|31-03-1991|54.20|6.90|119.70|90.40|90.40||53.50
Punjab Anand Lamp Inds. Ltd. [Merged]|31-12-2001|1428.60|3.50|1299.00|1283.90|1283.90||1424.70
Punjab Ashok Hotel Co. Ltd.|31-03-2023|||0.10|31.40|31.40||
Punjab Automobiles (India) Pvt. Ltd.|31-03-2021|1591.40|70.00|1651.40|375.90|375.90||1589.90
Punjab Basmati Rice Ltd.|31-03-2017|6301.80|-319.10|5957.70|3873.50|3873.50||6295.30
Punjab Bevel Gears Ltd.|31-03-2021|1725.50|40.10|1713.50|1500.90|1500.90||1712.40
Punjab Biomass Power Ltd.|31-03-2016|221.20||355.00|747.60|747.60||219.20
Punjab Breweries Ltd. [Merged]|31-03-1993|190.80|-2.90|183.10|227.20|227.20||190.60
Punjab Ceramics Ltd.|31-03-1996|5.60|-2.80|8.10|40.50|40.50||5.30
Punjab Chemicals & Crop Protection Ltd.|31-03-2023|10077.00|223.90|9691.50|7234.70|7234.70|1758|10037.50
Punjab Communications Ltd.|31-03-2023|187.10|-4.70|338.60|969.30|969.30|173|147.60
Punjab Digital Indl. Systems Ltd.|31-03-2008|0.40|0.00|2.60|11.20|11.20||
Punjab Dyers Association|31-03-2022|38.50|10.10|47.30|1466.90|1466.90||29.70
Punjab Farm Fresh Products Ltd.|31-03-2022|0.30||0.20|1.60|1.60||0.30
Punjab Fibres Ltd.|31-03-2009|0.10|0.00|8.80|99.80|99.80||
Punjab Formulations Ltd. [Merged]|31-03-2012|372.30|9.50|378.80|564.90|564.90||371.60
Punjab Gas Cylinders Ltd.|31-03-2022|268.80|-0.10|267.50|100.50|100.50||262.30
Punjab Genco Ltd.|31-03-2020|153.90||131.80|1580.10|1580.10||66.10
Punjab Goods Transport Pvt. Ltd.|31-03-2022|333.80||334.40|154.20|154.20||333.70
Punjab Greenfield Resources Ltd.|31-03-2022|||4.10|251.80|251.80||
Punjab Hightech Agro Farms Ltd.|31-03-2012||||6.90|6.90||
Punjab Hydro Power Pvt. Ltd.|31-03-2023|68.60||54.10|693.60|693.60||59.00
Punjab Iron & Steel Co. Ltd.|31-03-2021||||0.70|0.70||
Punjab Kashmir Finance Ltd.|31-03-2022|172.20||160.00|1313.40|1313.40||1.30
Punjab Lease Financing Ltd.|31-03-2022|3.70||1.10|76.70|76.70||
Punjab Logistics Infrastructure Ltd.|31-03-2022|248.40||307.70|2320.00|2320.00||247.50
Punjab Mercantile & Traders Ltd.|31-03-2022|0.20||1.00|2315.60|2315.60||
Punjab Motors (Kurali) Ltd.|31-03-2008|1.80|-1.60|4.50|216.80|216.80||0.10
Punjab National Bank|31-03-2023|1006481.30||981409.30|14630806.20|14630806.20||
Punjab National Fertilizers & Chemicals Ltd.|31-03-1998|536.80|14.40|722.00|516.20|516.20||520.90
Punjab Petroleum Corpn. Ltd.|31-03-2022||||22.50|22.50||
Punjab Power Generation Machines Ltd. [Merged]|31-03-1999|106.80|7.80|167.60|211.00|211.00||77.40
Punjab Produce Holdings Ltd.|31-03-2022|86.70||34.90|9411.00|9411.00||
Punjab Properties Ltd.|31-03-2022|0.30||0.30|5.80|5.80||
Punjab Reliable Invsts. Pvt. Ltd.|31-03-2022|47.20||32.10|393.20|393.20||
Punjab Small Inds. & Export Corpn. Ltd.|31-03-2019|2787.10|733.00|3211.90|7936.80|7936.80||2615.80
Punjab State Bus Stand Mgmt. Co. Ltd.|31-03-2015|4418.70||4378.90|6009.70|6009.70||4357.60
Punjab State Civil Supplies Corpn. Ltd.|31-03-2012|89013.60|2012.00|91016.20|102255.70|102255.70||77289.00
Punjab State Container & Warehousing Corpn. Ltd.|31-03-2021|305.10||272.80|2038.30|2038.30||276.80
Punjab State Electricity Board|31-03-2005|72559.20||110895.00|145604.60|145604.60|79680|70615.60
Punjab State Grains Procurement Corpn. Ltd.|31-03-2018|162133.70||164374.20|94169.80|94169.80||155873.10
Punjab State Indl. Devp. Corpn. Ltd.|31-03-1999|960.00||1163.50|7802.10|7802.10||0.10
Punjab State Power Corpn. Ltd.|31-03-2022|361153.60||350461.50|594281.10|594281.10||339984.50
Punjab State Transmission Corpn. Ltd.|31-03-2022|15142.80||12978.00|79651.50|79651.50||14725.80
Punjab Steel Products Ltd.|31-03-2006||||16.20|16.20||
Punjab Tissue Ltd.|31-03-2011|21.10|0.10|25.60|30.80|30.80||21.10
Punjab Tourism Devp. Corpn. Ltd.|31-03-2006|195.80||193.80|104.00|104.00||195.40
Punjab Township Ltd.|31-03-2011|0.50|-0.40|0.20|27.10|27.10||0.50
Punjab Tractors Ltd. [Merged]|31-03-2008|10064.20|28.10|9440.60|10463.30|10463.30|2244|9880.40
Punjab Transformers & Electronics Ltd.|31-03-2022|34.70|0.30|18.80|569.20|569.20||1.00
Punjab Water Resources Mgmt. & Devp. Corpn. Ltd.|31-03-2005|495.60||527.90|4043.60|4043.60||486.60
Punjab Wireless Systems Ltd.|31-03-1999|425.00|-227.60|1586.30|4865.70|4865.70||414.20
Punjab Woolcombers Ltd.|31-03-2010|425.90|0.30|458.80|507.20|507.20||421.00
Punjabexpo Breweries Pvt. Ltd.|31-03-2023|11.60||263.00|311.20|311.20||11.20
Punrasar Jute Park Ltd.|31-03-2011||||121.10|121.10||
Punsumi Engineers Ltd.|31-03-2022|||0.20|4.40|4.40||
Punsumi Foils & Components Ltd.|30-09-1999|2.30|0.20|50.60|64.30|64.30||1.90
Punsumi India Ltd.|31-03-2004||0.00|27.30|309.00|309.00||
Punwire Paging Services Ltd.|31-03-1997||||274.00|274.00||
Punwire Telecom Services Ltd.|31-03-1998|21.50|35.10|113.00|185.50|185.50||17.10
Punyashloka Ahilyadevi Maharashtra Mendhi Va Sheli Vikas Mahamandal Ltd.|31-03-2007|144.30|1.20|143.50|167.20|167.20||138.90
Pur Opale Creations Ltd.|31-03-2021|0.90||1.30|62.50|62.50||0.90
Purab Infrasturucture Projects Ltd.|31-03-2013|83.90|3.10|87.00|36.10|36.10||83.90
Purab Krishi Pvt. Ltd.|31-03-2013||||24.70|24.70||
Purak Infrastructure Services Pvt. Ltd.|31-03-2022|||1.00|0.40|0.40||
Purak Vinimay Ltd.|31-03-2009|||0.10|1.70|1.70||
Purandar Medical Foundation Pvt. Ltd.|31-03-2022|126.30||121.10|97.10|97.10||125.90
Purandar Milk & Agro Products Ltd.|31-03-2017|337.30||334.60|334.80|334.80||336.90
Purandare Industries Pvt. Ltd.|31-03-2022|0.60|3.00|3.60|29.80|29.80||0.60
Puranik Buildcon Pvt. Ltd.|31-03-2022|1414.60||1254.50|4307.80|4307.80||1406.90
Puranik Builders Ltd.|31-03-2022|5441.20|796.50|5872.80|11356.30|11356.30||5369.60
Purasawakam Santhatha Sanga Nidhi Ltd.|31-03-2011|52.70||52.60|428.20|428.20||0.40
Purasawakum Permanent Fund Nidhi Ltd.|31-03-2022|142.60||139.00|1246.10|1246.10||
Purasure Food & Beverages Products Pvt. Ltd.|31-03-2022||||128.70|128.70||
Puravankara Ltd.|31-03-2023|9034.50|5624.80|13516.90|67112.90|67112.90|681|6860.70
Purbanchal Alloys Ltd.|31-03-2011|118.90|12.60|126.10|133.90|133.90||114.50
Purbanchal Cement Ltd.|31-03-2022|1977.40|31.90|1928.30|1197.00|1197.00||1966.70
Purbanchal Laminates Pvt. Ltd.|31-03-2022|1744.40|129.60|1818.90|1613.90|1613.90||1709.70
Purbanchal Prestressed Ltd.|31-03-2023|139.70||69.10|539.40|539.40||
Purbanchal Trade & Inds. Ltd.|31-03-2022|3.60||3.30|566.80|566.80||
Purbasha Resources Ltd.|31-03-2022|21.20||6.70|220.60|220.60||
Pure & Cure Healthcare Pvt. Ltd.|31-03-2022|12656.10|137.60|11529.10|9008.50|9008.50||12631.30
Pure Coke Ltd.|31-03-2013|53.90|-2.00|90.60|79.90|79.90||53.90
Pure Diets India Ltd.|31-03-2022|4.20|0.00|61.30|140.40|140.40||
Pure Food Supply Corpn. Ltd.|31-03-2005|0.10||0.10|0.00|||0.10
Pure Gold Ornaments Pvt. Ltd.|31-03-2013|281.40|-16.20|258.90|99.60|99.60||281.10
Pure Health Products Pvt. Ltd.|31-03-2010|||0.40|16.60|16.60||
Pure N Sure Food Bites Pvt. Ltd. [Merged]|31-03-2019|247.20|3.40|276.60|691.40|691.40||246.80
Pure Pharma Ltd.|31-03-2022|12.50||13.60|38.60|38.60||10.70
Purearth Infrastructure Ltd.|31-03-2022|2251.90|-705.60|1233.40|5906.80|5906.80||2216.80
Purebite Pet Foods Pvt. Ltd.|31-03-2022|96.10||94.20|98.70|98.70||96.10
Puregene Biotech Ltd.|31-03-2023|5.50||4.40|38.10|38.10||5.40
Puresoftware Pvt. Ltd.|31-03-2022|1929.80||1704.10|1189.60|1189.60||1897.60
Purewell Filters Pvt. Ltd.|31-03-2022|3.50|-1.00|2.80|5.00|5.00||3.50
Puri Construction Pvt. Ltd.|31-03-2022|5595.90|-68.20|5187.50|15858.50|15858.50||5477.60
Puri Oil Mills Ltd.|31-03-2021|4064.30|60.20|4008.40|1504.40|1504.40||4041.00
Purina Petcare India Pvt. Ltd.|31-03-2022|361.20|44.70|643.20|271.50|271.50||360.80
Purinaa Animal Nutrition (I) Pvt. Ltd.|31-03-2020|53.60|-3.40|50.10|7.70|7.70||53.00
Purity Flex Pack Ltd.|31-03-2023|1156.80|9.80|1156.90|758.10|758.10||1155.90
Purnachandra Properties Pvt. Ltd.|31-03-2023|46.20||1.40|107.50|107.50||
Purohit Construction Ltd.|31-03-2023|12.00||19.60|29.40|29.40|6|11.20
Purohit Food Products Pvt. Ltd.|31-03-2022|213.80|-0.30|207.40|116.70|116.70||212.90
Purohit Steels Pvt. Ltd.|31-03-2022|0.20|||19.00|19.00||
Purple Entertainment Ltd.|31-03-2023|7.80||6.10|205.40|205.40||
Purple India Holdings Ltd. [Merged]|31-03-2019|0.10||0.20|323.90|323.90||
Purple Infotech Ltd.|31-03-2022|5.20|0.00|9.30|217.90|217.90||
Purple Patch Hospitality & Consultants Pvt. Ltd.|31-03-2022|1.00||0.40|5.10|5.10||1.00
